profile,segment,face,hat_virtual_midline_length_mm,solid_section_virtual_midline_length_mm,length_error_mm,turn_error_deg,paint_normal_error_deg,status
C-C,1,F20,39.0,39.0,0.0,0.0,0.0,PASS
C-C,2,F19,53.0,53.0,0.0,0.0,0.0,PASS
C-C,3,F2,1518.0,1518.0,0.0,0.0,0.0,PASS
C-C,4,F17,39.0,39.0,0.0,,0.0,PASS
SIDE_LEFT,1,F9,19.0,19.0,0.0,0.0,0.0,PASS
SIDE_LEFT,2,F5,51.0,51.0,0.0,0.0,0.0,PASS
SIDE_LEFT,3,F2,85.0,85.0,0.0,0.0,0.0,PASS
SIDE_LEFT,4,F1,318.0,318.0,0.0,0.0,0.0,PASS
SIDE_LEFT,5,F0,611.0,611.0,0.0,0.0,0.0,PASS
SIDE_LEFT,6,F3,51.0,51.0,0.0,0.0,0.0,PASS
SIDE_LEFT,7,F4,41.0,41.0,0.0,0.0,0.0,PASS
SIDE_LEFT,8,F6,29.0,29.0,0.0,,0.0,PASS
SIDE_RIGHT,1,F15,17.0,17.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,2,F1,49.32346586731728,49.00000000000001,0.32346586731727456,0.0,0.0,PASS
SIDE_RIGHT,3,F0,611.0,611.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,4,F3,51.0,51.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,5,F4,41.0,41.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,6,F6,29.0,29.0,0.0,,0.0,PASS
A-A,1,F12,29.0,29.0,0.0,0.0,0.0,PASS
A-A,2,F10,38.0,38.0,0.0,0.0,0.0,PASS
A-A,3,F7,53.0,53.0,0.0,0.0,0.0,PASS
A-A,4,F0,1977.999745500565,1978.0,0.0002544994349591434,0.0,0.0,PASS
A-A,5,F8,51.0,51.0,0.0,0.0,0.0,PASS
A-A,6,F13,17.0,17.0,0.0,,0.0,PASS
B-B,1,F18,29.0,29.0,0.0,0.0,0.0,PASS
B-B,2,F14,38.0,38.0,0.0,0.0,0.0,PASS
B-B,3,F11,53.0,53.0,0.0,0.0,0.0,PASS
B-B,4,F1,1514.0,1514.0,0.0,0.0,0.0,PASS
B-B,5,F16,17.0,17.0,0.0,,0.0,PASS
