profile,segment,face,hat_virtual_midline_length_mm,solid_section_virtual_midline_length_mm,length_error_mm,turn_error_deg,paint_normal_error_deg,status
HORIZONTAL_SECTION,1,F7,39.0,39.0,0.0,0.0,0.0,PASS
HORIZONTAL_SECTION,2,F3,38.0,38.0,0.0,0.0,0.0,PASS
HORIZONTAL_SECTION,3,F1,53.0,53.0,0.0,0.0,0.0,PASS
HORIZONTAL_SECTION,4,F0,934.0,934.0,0.0,0.0,0.0,PASS
HORIZONTAL_SECTION,5,F2,51.0,51.0,0.0,0.0,0.0,PASS
HORIZONTAL_SECTION,6,F4,17.0,17.0,0.0,,0.0,PASS
SIDE_RIGHT,1,F11,17.0,16.999999999999993,7.105427357601002e-15,0.0,0.0,PASS
SIDE_RIGHT,2,F5,49.0,49.00000000000004,4.263256414560601e-14,0.0,0.0,PASS
SIDE_RIGHT,3,F0,2858.0,2858.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,4,F6,47.0,47.0,0.0,0.0,0.0,PASS
SIDE_RIGHT,5,F12,17.0,17.0,0.0,,0.0,PASS
